beneficiary_id,transaction_date,amount,status,payment_mode,location,is_fraudulent
B044818,2025-11-07,267.0,SUCCESS,Cash,Andhra Pradesh,False
B037233,2025-12-19,187.0,SUCCESS,Cash,Tamil Nadu,False
B049891,2024-07-04,296.0,SUCCESS,Post Office,Maharashtra,False
B002408,2025-06-08,189.0,SUCCESS,Post Office,Others,False
B046529,2024-10-25,226.0,FAILED,Cash,West Bengal,False
B036146,2024-12-08,259.98,FAILED,DBT,Bihar,True
B042509,2026-03-18,262.0,FAILED,Post Office,Gujarat,False
B048054,2025-07-06,327.72,SUCCESS,Cash,Tamil Nadu,True
B037304,2025-04-06,115.32,FAILED,Cash,Others,True
B019556,2024-07-25,194.0,SUCCESS,DBT,Others,False
B044478,2025-11-02,221.0,SUCCESS,Post Office,Gujarat,False
B035080,2025-04-22,208.0,SUCCESS,Cash,Karnataka,False
B020251,2025-01-05,313.0,SUCCESS,Post Office,Bihar,False
B010757,2025-08-08,237.0,SUCCESS,Bank Transfer,Bihar,False
B019599,2025-02-25,106.0,SUCCESS,Cash,Others,False
B011438,2025-08-25,173.0,SUCCESS,Cash,Bihar,False
B024686,2024-12-28,255.0,FAILED,Post Office,Maharashtra,False
B023305,2024-07-30,301.0,FAILED,Bank Transfer,Others,False
B035429,2025-07-08,294.0,SUCCESS,DBT,Bihar,False
B026766,2024-09-06,230.0,SUCCESS,DBT,Andhra Pradesh,False
B032390,2025-03-21,272.0,SUCCESS,Cash,Others,False
B004439,2026-01-02,259.0,FAILED,Cash,Madhya Pradesh,False
B026267,2024-08-04,232.0,SUCCESS,DBT,Others,False
B044975,2024-12-29,252.0,FAILED,Cash,West Bengal,False
B045988,2024-09-16,233.0,FAILED,DBT,Uttar Pradesh,False
B049113,2025-09-23,300.71,SUCCESS,Post Office,Bihar,True
B033622,2025-03-21,185.0,SUCCESS,Bank Transfer,Tamil Nadu,False
B010394,2025-09-02,273.0,SUCCESS,Post Office,Others,False
