beneficiary_id,fraud_probability,risk_level,death_record_match,aadhaar_verified,location_mismatch,age,risk_factors
B000001,0.4725,MEDIUM,1,1,0,66,⚠️ Death record found
B000002,0.0,,0,1,0,60,✓ No major risk factors
B000003,0.10750000000000001,LOW,0,1,0,57,✓ No major risk factors
B000004,0.1575,LOW,0,0,0,66,⚠️ Aadhaar not verified
B000005,0.1125,LOW,0,1,0,48,✓ No major risk factors
B000006,0.10750000000000001,LOW,0,1,0,47,✓ No major risk factors
B000007,0.005000000000000001,LOW,0,1,0,63,✓ No major risk factors
B000008,0.0,,0,1,0,59,✓ No major risk factors
B000009,0.0,,0,1,0,71,✓ No major risk factors
B000010,0.10750000000000001,LOW,0,1,0,69,✓ No major risk factors
B000011,0.1125,LOW,0,1,0,83,✓ No major risk factors
B000012,0.4725,MEDIUM,1,1,0,55,⚠️ Death record found
B000013,0.0,,0,1,0,47,✓ No major risk factors
B000014,0.4725,MEDIUM,1,1,0,49,⚠️ Death record found
B000015,0.0,,0,1,0,54,✓ No major risk factors
B000016,0.41750000000000004,MEDIUM,0,0,1,61,⚠️ Aadhaar not verified | ⚠️ Location mismatch
B000017,0.265,LOW,0,0,0,73,⚠️ Aadhaar not verified
B000018,0.63,HIGH,1,0,0,83,⚠️ Death record found | ⚠️ Aadhaar not verified
B000019,0.10750000000000001,LOW,0,1,0,56,✓ No major risk factors
B000020,0.265,LOW,0,0,0,68,⚠️ Aadhaar not verified
B000021,0.0,,0,1,0,49,✓ No major risk factors
B000022,0.0,,0,1,0,70,✓ No major risk factors
B000023,0.63,HIGH,1,0,0,74,⚠️ Death record found | ⚠️ Aadhaar not verified
B000024,0.0,,0,1,0,71,✓ No major risk factors
B000025,0.1575,LOW,0,0,0,72,⚠️ Aadhaar not verified
B000026,0.005000000000000001,LOW,0,1,0,79,✓ No major risk factors
B000027,0.10750000000000001,LOW,0,1,0,26,✓ No major risk factors
B000028,0.4725,MEDIUM,1,1,0,59,⚠️ Death record found
B000029,0.1125,LOW,0,1,0,76,✓ No major risk factors
B000030,0.10750000000000001,LOW,0,1,0,70,✓ No major risk factors
B000031,0.265,LOW,0,0,0,76,⚠️ Aadhaar not verified
